H_bin    , Gene , Feature       , Region    , Orientation, Step, Pearson_r            , P_value                , CI_low                , CI_high               , N_windows, Sliding_file                                                      , P_Bonferroni           , Reject_Bonferroni, P_Holm                 , Reject_Holm, P_FDR_BH               , Reject_FDR_BH
0.50-0.56, NSD1 , PROMOTER      , winTrim500, genomic    ,   10, 0.15855178096987327  , 8.207086553235744e-91  , 0.1434293737965244    , 0.17360016473773726   ,     16043, sliding_NSD1_PROMOTER_win10k_step10_winTrim500_genomic.csv        , 2.75758108188721e-88   , True             , 1.4854826661356696e-88 , True       , 1.7676801806969294e-90 , True
0.50-0.56, NSD1 , PROMOTER      , winTrim500, reversed   ,   10, 0.39599427033202284  , 0.0                    , 0.3828660648763736    , 0.40896256329923264   ,     16043, sliding_NSD1_PROMOTER_win10k_step10_winTrim500_reversed.csv       , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , REG_ALL       , full      , genomic    ,   10, 0.20089566310214824  , 9.978106885124293e-146 , 0.18599957581659698   , 0.2156994218409013    ,     16043, sliding_NSD1_REG_ALL_win10k_step10_full_genomic.csv               , 3.3526439134017625e-143, True             , 2.1852054078422202e-143, True       , 2.8412236554252226e-145, True
0.50-0.56, NSD1 , REG_ALL       , full      , reversed   ,   10, 0.4020333496279524   , 0.0                    , 0.388978952649487     , 0.41492632313812816   ,     16043, sliding_NSD1_REG_ALL_win10k_step10_full_reversed.csv              , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD1 , REG_ALL       , winTrim500, genomic    ,   10, 0.17195418117497607  , 1.0370848467884667e-106, 0.15689735680991457   , 0.18693108962174584   ,     16043, sliding_NSD1_REG_ALL_win10k_step10_winTrim500_genomic.csv         , 3.4846050852092483e-104, True             , 2.094911390512703e-104 , True       , 2.5811889520068505e-106, True
0.50-0.56, NSD1 , REG_ALL       , winTrim500, reversed   ,   10, 0.37864100193280464  , 0.0                    , 0.36530710392427024   , 0.3918195579706643    ,     16043, sliding_NSD1_REG_ALL_win10k_step10_winTrim500_reversed.csv        , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD2 , CTCF          , full      , genomic    ,   10, 0.4056197927227085   , 0.0                    , 0.38940880321857996   , 0.42157956287626136   ,     10365, sliding_NSD2_CTCF_win10k_step10_full_genomic.csv                  , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD2 , CTCF          , full      , reversed   ,   10, -0.5119719712283454  , 0.0                    , -0.5260389720353188   , -0.4976249097359069   ,     10365, sliding_NSD2_CTCF_win10k_step10_full_reversed.csv                 , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD2 , CTCF          , winTrim500, genomic    ,   10, 0.40186482290770026  , 0.0                    , 0.38559618612348867   , 0.4178836629707819    ,     10365, sliding_NSD2_CTCF_win10k_step10_winTrim500_genomic.csv            , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD2 , CTCF          , winTrim500, reversed   ,   10, -0.513333478316225   , 0.0                    , -0.5273735021735014   , -0.49901318009144957  ,     10365, sliding_NSD2_CTCF_win10k_step10_winTrim500_reversed.csv           , 0.0                    , True             , 0.0                    , True       , 0.0                    , True
0.50-0.56, NSD2 , EMAR_AND_OTHER, full      , genomic    ,   10, 0.0067470180110065555, 0.49219003416624707    , -0.012506463775287045 , 0.025995498676219052  ,     10365, sliding_NSD2_EMAR_AND_OTHER_win10k_step10_full_genomic.csv        , 1.0                    , False            , 1.0                    , False      , 0.5011389438783607     , False
0.50-0.56, NSD2 , EMAR_AND_OTHER, full      , reversed   ,   10, -0.16184984214357    , 8.919508536443901e-62  , -0.18053915566049958  , -0.14304369614701923  ,     10365, sliding_NSD2_EMAR_AND_OTHER_win10k_step10_full_reversed.csv       , 2.996954868245151e-59  , True             , 1.3200872633936973e-59 , True       , 1.5773446674974478e-61 , True
0.50-0.56, NSD2 , EMAR_AND_OTHER, winTrim500, genomic    ,   10, 0.01947186796984057  , 0.04743971093549368    , 0.00022009318724233642, 0.038709214350087236  ,     10365, sliding_NSD2_EMAR_AND_OTHER_win10k_step10_winTrim500_genomic.csv  , 1.0                    , False            , 1.0                    , False      , 0.05060235833119326    , False
0.50-0.56, NSD2 , EMAR_AND_OTHER, winTrim500, reversed   ,   10, -0.16947502085520577 , 1.2156060575223802e-67 , -0.18811311979098416  , -0.15071490242219332  ,     10365, sliding_NSD2_EMAR_AND_OTHER_win10k_step10_winTrim500_reversed.csv , 4.084436353275197e-65  , True             , 1.8720333285844657e-65 , True       , 2.219802365910433e-67  , True
0.50-0.56, NSD2 , ENHANCER      , full      , genomic    ,   10, -0.04063653432922294 , 3.497960200267786e-05  , -0.059841575832276825 , -0.02140141998672683  ,     10365, sliding_NSD2_ENHANCER_win10k_step10_full_genomic.csv              , 0.011753146272899763   , True             , 0.0018539189061419267  , True       , 4.138431786232311e-05  , True
0.50-0.56, NSD2 , ENHANCER      , full      , reversed   ,   10, -0.1451463072413035  , 6.545276296280963e-50  , -0.16394006091723415  , -0.12624722712322356  ,     10365, sliding_NSD2_ENHANCER_win10k_step10_full_reversed.csv             , 2.1992128355504034e-47 , True             , 9.097934051830538e-48  , True       , 1.1107135533082845e-49 , True
0.50-0.56, NSD2 , ENHANCER      , winTrim500, genomic    ,   10, -0.04300700125513128 , 1.1868865964866064e-05 , -0.062207353054644    , -0.02377482868400693  ,     10365, sliding_NSD2_ENHANCER_win10k_step10_winTrim500_genomic.csv        , 0.003987938964194997   , True             , 0.0006409187621027675  , True       , 1.409165711729681e-05  , True
0.50-0.56, NSD2 , ENHANCER      , winTrim500, reversed   ,   10, -0.13954199737385045 , 3.1438197159387353e-46 , -0.15836840702452668  , -0.12061416311327376  ,     10365, sliding_NSD2_ENHANCER_win10k_step10_winTrim500_reversed.csv       , 1.056323424555415e-43  , True             , 4.1812802221985177e-44 , True       , 5.1780560027226235e-46 , True
0.50-0.56, NSD2 , OTHER_GENIC   , full      , genomic    ,   10, 0.029426080249231754 , 0.0027344170473491657  , 0.010179989992895074  , 0.04865037677380055   ,     10365, sliding_NSD2_OTHER_GENIC_win10k_step10_full_genomic.csv           , 0.9187641279093197     , False            , 0.12115944633998715    , False      , 0.003135713747130784   , True
0.50-0.56, NSD2 , OTHER_GENIC   , full      , reversed   ,   10, -0.2231602289895208  , 3.909998958708823e-117 , -0.24137507886587758  , -0.20478819274460422  ,     10365, sliding_NSD2_OTHER_GENIC_win10k_step10_full_reversed.csv          , 1.3137596501261644e-114, True             , 8.132797834114352e-115 , True       , 1.0184183334311352e-116, True
